station_number,month,mean_temp,mean_dew_point,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,fog,rain,snow,hail,thunder,tornado,max_temperature_explicit_enc,day_of_year,day_of_week
725327,10,49.29999923706055,37.400001525878906,10.0,10.300000190734863,13.0,39.0,0.0199999995529651,0,0,0,0,0,0,0.0,298,1
725316,2,30.100000381469727,16.200000762939453,10.0,11.5,21.0,24.100000381469727,0.0,0,0,0,0,0,0,0.0,48,3
725316,10,59.09999847412109,52.59999847412109,9.899999618530272,4.599999904632568,8.0,55.0,0.0,0,0,0,0,0,0,0.0,284,1
725316,10,46.70000076293945,36.400001525878906,10.0,11.199999809265137,15.899999618530272,42.79999923706055,0.0,0,0,0,0,0,0,1.0,298,1
725314,10,65.30000305175781,50.5,8.0,2.400000095367432,5.099999904632568,50.0,0.0,1,1,1,1,1,1,1.0,291,1
725305,10,54.5,47.900001525878906,5.099999904632568,8.399999618530273,15.0,51.79999923706055,,0,0,0,0,0,0,1.0,304,0
725315,4,45.29999923706055,36.79999923706055,8.899999618530273,16.700000762939453,25.100000381469727,37.0,0.1899999976158142,0,0,0,0,0,0,0.0,92,5
725326,1,29.200000762939453,20.0,9.800000190734863,12.300000190734863,18.100000381469727,14.0,0.0,0,0,0,0,0,0,0.0,19,2
725326,1,30.89999961853028,24.5,9.800000190734863,2.200000047683716,8.0,28.39999961853028,0.0,0,0,0,0,0,0,0.0,31,0
725316,1,28.600000381469727,25.5,7.300000190734863,5.400000095367432,11.100000381469728,26.600000381469727,0.1000000014901161,1,1,1,1,1,1,1.0,8,5
725314,1,15.300000190734863,7.199999809265137,8.399999618530273,10.100000381469728,14.0,10.899999618530272,0.0,0,0,0,0,0,0,0.0,16,6
725327,6,79.30000305175781,70.69999694824219,5.5,7.5,15.0,73.0,0.0,0,0,0,0,0,0,0.0,179,1
725327,1,33.0,28.0,7.900000095367432,11.300000190734863,18.100000381469727,24.799999237060547,0.2399999946355819,1,1,1,1,1,1,1.0,26,2
725300,1,32.29999923706055,29.39999961853028,7.699999809265137,9.300000190734863,12.0,30.0,0.3400000035762787,1,1,1,1,1,1,0.0,4,1
725330,8,70.4000015258789,66.0,9.199999809265137,2.5,7.0,66.0,1.0199999809265137,1,1,1,1,1,1,0.0,226,6
725316,2,48.0,43.59999847412109,9.300000190734863,14.600000381469728,19.0,42.79999923706055,0.6700000166893005,0,0,0,0,0,0,1.0,45,0
725300,2,34.099998474121094,29.100000381469727,4.0,8.600000381469727,13.0,22.100000381469727,0.3000000119209289,1,1,1,1,1,1,0.0,51,6
725305,3,34.599998474121094,26.5,9.399999618530272,8.899999618530273,12.0,30.200000762939453,0.0,0,0,0,0,0,0,1.0,79,6
725300,3,51.29999923706055,41.79999923706055,9.399999618530272,14.5,22.0,42.79999923706055,0.6200000047683716,1,1,1,1,1,1,1.0,90,3
725305,11,48.400001525878906,33.900001525878906,10.0,7.800000190734863,15.0,33.79999923706055,0.0,0,0,0,0,0,0,1.0,306,2
725327,9,64.5999984741211,55.09999847412109,7.699999809265137,4.400000095367432,9.899999618530272,51.79999923706055,0.0099999997764825,1,1,1,1,1,1,1.0,261,6
725315,3,36.29999923706055,17.600000381469727,9.800000190734863,5.099999904632568,11.100000381469728,23.0,0.0,0,0,0,0,0,0,0.0,75,2
725320,5,68.5999984741211,51.70000076293945,9.800000190734863,5.199999809265137,12.0,48.0,0.0,0,0,0,0,0,0,0.0,127,5
725305,10,47.29999923706055,38.5,9.600000381469728,7.900000095367432,14.0,35.099998474121094,0.0,0,0,0,0,0,0,0.0,294,4
725305,2,38.09999847412109,34.5,5.300000190734863,9.5,14.0,35.599998474121094,0.2599999904632568,0,0,0,0,0,0,1.0,44,6
725320,3,46.29999923706055,23.5,9.0,10.800000190734863,22.0,30.0,0.0,1,1,1,1,1,1,1.0,77,4
725315,6,64.80000305175781,51.20000076293945,9.899999618530272,7.699999809265137,14.0,54.0,0.0,0,0,0,0,0,0,0.0,168,4
725327,4,45.0,33.79999923706055,9.800000190734863,4.0,9.899999618530272,34.0,0.0,0,0,0,0,0,0,0.0,91,4
