,date,station_number,month,mean_temp,mean_dew_point,mean_sealevel_pressure,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,snow,max_temperature_explicit_enc,day_of_year,day_of_week
60,2005-08-31,725314,8,72.0999984741211,62.79999923706055,1010.5,9.699999809265137,3.5999999046325684,11.100000381469728,61.0,0.0,0,0.0,243,2
66,2005-04-25,725317,4,49.79999923706055,31.899999618530277,1005.5999755859376,10.0,9.199999809265137,14.0,39.0,0.0,0,0.0,115,0
85,2005-07-08,725327,7,72.5999984741211,57.0,1019.0,10.0,4.5,8.899999618530273,60.79999923706055,0.0,0,1.0,189,4
95,2005-10-31,725317,10,53.20000076293945,45.0,1020.5999755859376,7.300000190734863,6.900000095367432,9.899999618530272,50.0,0.0299999993294477,0,1.0,304,0
99,2005-07-08,725314,7,76.5,65.69999694824219,1017.4000244140624,8.600000381469727,2.200000047683716,7.0,60.79999923706055,0.0,0,1.0,189,4
141,2005-04-10,725326,4,63.79999923706055,41.0,,9.600000381469728,7.0,9.899999618530272,48.20000076293945,0.0,0,1.0,100,6
172,2005-09-17,725326,9,60.70000076293945,50.59999847412109,,8.100000381469727,1.7000000476837158,7.0,46.400001525878906,0.0,0,1.0,260,5
177,2005-11-03,725326,11,61.09999847412109,37.70000076293945,,10.0,6.5,12.0,51.79999923706055,0.0,0,1.0,307,3
266,2005-03-08,725326,3,27.100000381469727,11.100000381469728,,10.0,9.5,16.899999618530273,19.399999618530277,0.0,0,0.0,67,1
340,2005-04-02,725305,4,45.29999923706055,34.5,1014.2999877929688,9.699999809265137,12.100000381469728,18.100000381469727,37.400001525878906,0.2199999988079071,0,1.0,92,5
365,2005-06-09,725315,6,76.5,65.5,1011.2999877929688,10.0,8.0,12.0,63.0,0.0,0,0.0,160,3
376,2005-10-05,725315,10,74.9000015258789,62.5,1018.5999755859376,7.800000190734863,6.900000095367432,12.0,62.59999847412109,0.0,0,1.0,278,2
380,2005-09-13,725316,9,79.5,59.0,1013.2999877929688,9.199999809265137,9.399999618530272,14.0,68.0,0.0,0,0.0,256,1
385,2005-01-23,725300,1,14.100000381469728,5.099999904632568,1031.800048828125,8.0,10.300000190734863,22.0,8.100000381469727,0.2199999988079071,0,0.0,23,6
406,2005-07-30,725327,7,70.5,62.400001525878906,1024.5999755859375,9.300000190734863,2.299999952316284,6.0,57.20000076293945,0.0099999997764825,0,1.0,211,5
430,2005-10-23,725317,10,45.900001525878906,34.5,1012.7999877929688,10.0,9.399999618530272,15.899999618530272,36.0,,0,0.0,296,6
432,2005-08-28,725317,8,73.5999984741211,63.20000076293945,1011.7999877929688,8.300000190734863,2.5,7.0,60.79999923706055,0.0,1,1.0,240,6
465,2005-09-02,725314,9,71.0,58.0,1020.5999755859376,8.600000381469727,0.699999988079071,5.099999904632568,55.900001525878906,0.0,1,0.0,245,4
